id,bug_id,program,signal,bug_type,crash_func_full,crash_func,back_trace_full,back_trace_func,crash_line
705297cf9a7355ee4d21327002fd6b199c685ad4a178a473116707c8f9dacb56,CVE-2015-7497-A,libxml2,SIGSEGV,heap-buffer-overflow,xmlDictComputeFastQKey@dict.c:459,xmlDictComputeFastQKey,<-xmlDictComputeFastQKey@dict.c:459<-xmlDictQLookup__internal_alias@dict.c:1049<-xmlSAX2StartElementNs__internal_alias@SAX2.c:2191<-xmlParseStartTag2@parser.c:9252<-xmlParseElement__internal_alias@parser.c:9599<-xmlParseDocument__internal_alias@parser.c:10354<-xmlDoRead@parser.c:14657<-xmlReadFile__internal_alias@parser.c:14717<-parseAndPrintFile@xmllint.c:2381<-main@xmllint.c:3726,<-xmlDictComputeFastQKey<-xmlDictQLookup__internal_alias<-xmlSAX2StartElementNs__internal_alias<-xmlParseStartTag2<-xmlParseElement__internal_alias<-xmlParseDocument__internal_alias<-xmlDoRead<-xmlReadFile__internal_alias<-parseAndPrintFile<-main,value += name[len - (plen + 1 + 1)];
b0bac9c541fb09486f7aee9a56aa8322d9c707ee4f994bdd74362c5ae7db90f7,CVE-2015-7497-B,libxml2,SIGSEGV,heap-buffer-overflow,xmlDictComputeFastQKey@dict.c:459,xmlDictComputeFastQKey,<-xmlDictComputeFastQKey@dict.c:459<-xmlDictQLookup__internal_alias@dict.c:1049<-xmlSAX2StartElementNs__internal_alias@SAX2.c:2191<-xmlParseStartTag2@parser.c:9252<-xmlParseElement__internal_alias@parser.c:9599<-xmlParseContent__internal_alias@parser.c:9512<-xmlParseElement__internal_alias@parser.c:9685<-xmlParseDocument__internal_alias@parser.c:10354<-xmlDoRead@parser.c:14657<-xmlReadFile__internal_alias@parser.c:14717<-parseAndPrintFile@xmllint.c:2381<-main@xmllint.c:3726,<-xmlDictComputeFastQKey<-xmlDictQLookup__internal_alias<-xmlSAX2StartElementNs__internal_alias<-xmlParseStartTag2<-xmlParseElement__internal_alias<-xmlParseContent__internal_alias<-xmlParseElement__internal_alias<-xmlParseDocument__internal_alias<-xmlDoRead<-xmlReadFile__internal_alias<-parseAndPrintFile<-main,value += name[len - (plen + 1 + 1)];
e4bb922539755b014c67fac1805ec83e29712abd65338f4e674c9d7374461c0a,CVE-2015-7498,libxml2,SIGSEGV,heap-buffer-overflow,xmlParseXMLDecl__internal_alias@parser.c:10192,xmlParseXMLDecl__internal_alias,<-xmlParseXMLDecl__internal_alias@parser.c:10192<-xmlParseDocument__internal_alias@parser.c:10294<-xmlDoRead@parser.c:14657<-xmlReadFile__internal_alias@parser.c:14717<-parseAndPrintFile@xmllint.c:2381<-main@xmllint.c:3726,<-xmlParseXMLDecl__internal_alias<-xmlParseDocument__internal_alias<-xmlDoRead<-xmlReadFile__internal_alias<-parseAndPrintFile<-main,MOVETO_ENDTAG(CUR_PTR);
e4730b26b766adc1155ab9f723ccdf99e6ea44af110e208dbde0ef91e29e2337,CVE-2017-9049-A,libxml2,SIGSEGV,heap-buffer-over-read,xmlParsePI__internal_alias@parser.c:5000,xmlParsePI__internal_alias,<-xmlParsePI__internal_alias@parser.c:5000<-xmlParseMisc__internal_alias@parser.c:10212<-xmlParseDocument__internal_alias@parser.c:10361<-xmlDoRead@parser.c:14657<-xmlReadFile__internal_alias@parser.c:14717<-parseAndPrintFile@xmllint.c:2381<-main@xmllint.c:3726,<-xmlParsePI__internal_alias<-xmlParseMisc__internal_alias<-xmlParseDocument__internal_alias<-xmlDoRead<-xmlReadFile__internal_alias<-parseAndPrintFile<-main,NEXTL(l);
627ced48ffcdd2b72651ac4ff2dcd5f344a0c62b83cffecf28d0a9897ed961e8,CVE-2017-9049-B,libxml2,SIGSEGV,heap-buffer-over-read,xmlParseAttValueComplex@parser.c:3928,xmlParseAttValueComplex,<-xmlParseAttValueComplex@parser.c:3928<-xmlParseAttValueInternal@parser.c:8713<-xmlParseAttribute2@parser.c:8769<-xmlParseStartTag2@parser.c:8927<-xmlParseElement__internal_alias@parser.c:9599<-xmlParseDocument__internal_alias@parser.c:10354<-xmlDoRead@parser.c:14657<-xmlReadFile__internal_alias@parser.c:14717<-parseAndPrintFile@xmllint.c:2381<-main@xmllint.c:3726,<-xmlParseAttValueComplex<-xmlParseAttValueInternal<-xmlParseAttribute2<-xmlParseStartTag2<-xmlParseElement__internal_alias<-xmlParseDocument__internal_alias<-xmlDoRead<-xmlReadFile__internal_alias<-parseAndPrintFile<-main,NEXTL(l);
dda773b8d309a679bf512e626c77bc3027479702265a32b5167998b9b366146d,CVE-2017-9049-C,libxml2,SIGSEGV,heap-buffer-over-read,xmlParseCharDataComplex@parser.c:4411,xmlParseCharDataComplex,<-xmlParseCharDataComplex@parser.c:4411<-xmlParseCharData__internal_alias@parser.c:4348<-xmlParseContent__internal_alias@parser.c:9528<-xmlParseElement__internal_alias@parser.c:9685<-xmlParseDocument__internal_alias@parser.c:10354<-xmlDoRead@parser.c:14657<-xmlReadFile__internal_alias@parser.c:14717<-parseAndPrintFile@xmllint.c:2381<-main@xmllint.c:3726,<-xmlParseCharDataComplex<-xmlParseCharData__internal_alias<-xmlParseContent__internal_alias<-xmlParseElement__internal_alias<-xmlParseDocument__internal_alias<-xmlDoRead<-xmlReadFile__internal_alias<-parseAndPrintFile<-main,NEXTL(l);
386cf3ecd2b10b49594f4fd75c7392e149d14b920da2260cfd0285825e9f3cbb,CVE-2018-11212,libjpeg-turbo,SIGFPE,divide-by-zero,alloc_sarray@jmemmgr.c:435,alloc_sarray,<-alloc_sarray@jmemmgr.c:435<-start_input_tga@rdtarga.c:437<-main@cjpeg.c:592,<-alloc_sarray<-start_input_tga<-main,"ltemp = (MAX_ALLOC_CHUNK-SIZEOF(large_pool_hdr)) /
	  ((long) samplesperrow * SIZEOF(JSAMPLE));"
cc6cbe8f0f72099ed985f2c310302e2e9a85c2c4b13e6d07cfe2e4a8fb0d10a1,CVE-2018-11213,libjpeg-turbo,SIGSEGV,heap-buffer-overflow,get_word_rgb_row@rdppm.c:280,get_word_rgb_row,<-get_word_rgb_row@rdppm.c:280<-main@cjpeg.c:613,<-get_word_rgb_row<-main,*ptr++ = rescale[temp];
611cf7d8812bb6db022927c059ad2be8b61b9d74eb000936778b7b8d316cd89c,CVE-2017-6850,jasper,SIGSEGV,null-dereference,jas_free@jas_malloc.c:127,jas_free,<-jas_free@jas_malloc.c:127<-jp2_cdef_destroy@jp2_cod.c:229<-jp2_box_destroy@jp2_cod.c:211<-jp2_box_get@jp2_cod.c:307<-jp2_decode@jp2_dec.c:156<-jas_image_decode@jas_image.c:380<-main@imginfo.c:188,<-jas_free<-jp2_cdef_destroy<-jp2_box_destroy<-jp2_box_get<-jp2_decode<-jas_image_decode<-main,free(ptr);
6bad72ac4716776763675dd52740349accbfa8e9191f094f71cccdee1f37e719,CVE-2016-7519,imagemagick,SIGSEGV,heap-buffer-overflow,ReadRLEImage@rle.c:590,ReadRLEImage,<-ReadRLEImage@rle.c:590<-ReadImage@constitute.c:494<-ReadImages@constitute.c:844<-CLINoImageOperator@operation.c:4663<-CLIOption@operation.c:5157<-ProcessCommandOptions@magick-cli.c:421<-MagickImageCommand@magick-cli.c:786<-MagickCommandGenesis@mogrify.c:172<-MagickMain@magick.c:74<-main@magick.c:85,<-ReadRLEImage<-ReadImage<-ReadImages<-CLINoImageOperator<-CLIOption<-ProcessCommandOptions<-MagickImageCommand<-MagickCommandGenesis<-MagickMain<-main,"if (IsValidColormapIndex(image,(ssize_t) *p++,&index,
                    exception) == MagickFalse)"
