id,bug_id,program,signal,bug_type,crash_func_full,crash_func,back_trace_full,back_trace_func,crash_line
17cfddda61f20c3282a9c7716313cc04689598a555d6605476ff790b20dccc26,CVE-2015-7497,libxml2,SIGSEGV,heap-buffer-overflow,xmlDictComputeFastQKey@dict.c:459,xmlDictComputeFastQKey,<-xmlDictComputeFastQKey@dict.c:459<-xmlDictQLookup__internal_alias@dict.c:1049<-xmlSAX2StartElementNs__internal_alias@SAX2.c:2344<-xmlParseStartTag2@parser.c:9252<-xmlParseElement__internal_alias@parser.c:9599<-xmlParseDocument__internal_alias@parser.c:10354<-xmlDoRead@parser.c:14657<-xmlReadFile__internal_alias@parser.c:14717<-parseAndPrintFile@xmllint.c:2381<-main@xmllint.c:3726,<-xmlDictComputeFastQKey<-xmlDictQLookup__internal_alias<-xmlSAX2StartElementNs__internal_alias<-xmlParseStartTag2<-xmlParseElement__internal_alias<-xmlParseDocument__internal_alias<-xmlDoRead<-xmlReadFile__internal_alias<-parseAndPrintFile<-main,value += name[len - (plen + 1 + 1)];
d957fd1c1973a565b4aa95fdc973b97acb3b7838a4519cc3e8dfb32add2fe97b,CVE-2015-7498,libxml2,SIGSEGV,heap-buffer-overflow,xmlParseXMLDecl__internal_alias@parser.c:10192,xmlParseXMLDecl__internal_alias,<-xmlParseXMLDecl__internal_alias@parser.c:10192<-xmlParseDocument__internal_alias@parser.c:10294<-xmlDoRead@parser.c:14657<-xmlReadFile__internal_alias@parser.c:14717<-parseAndPrintFile@xmllint.c:2381<-main@xmllint.c:3726,<-xmlParseXMLDecl__internal_alias<-xmlParseDocument__internal_alias<-xmlDoRead<-xmlReadFile__internal_alias<-parseAndPrintFile<-main,MOVETO_ENDTAG(CUR_PTR);
4f4f0f52fac7aac5de8d7712aed0d1cefbab88190120e6ed86d5a8edcf17ecf4,CVE-2016-1835,libxml2,SIGSEGV,use-after-free,xmlSAX2AttributeNs@SAX2.c:1990,xmlSAX2AttributeNs,<-xmlSAX2AttributeNs@SAX2.c:1990<-xmlSAX2StartElementNs__internal_alias@SAX2.c:2362<-xmlParseStartTag2@parser.c:9248<-xmlParseElement__internal_alias@parser.c:9599<-xmlParseDocument__internal_alias@parser.c:10354<-xmlDoRead@parser.c:14657<-xmlReadFile__internal_alias@parser.c:14717<-parseAndPrintFile@xmllint.c:2381<-main@xmllint.c:3726<-xmlBufferResize__internal_alias@tree.c:7335<-xmlParserInputBufferGrow__internal_alias@xmlIO.c:3270<-xmlParserInputGrow__internal_alias@parserInternals.c:353<-xmlSkipBlankChars__internal_alias@parser.c:2068<-xmlParseStartTag2@parser.c:8984<-xmlParseElement__internal_alias@parser.c:9599<-xmlParseDocument__internal_alias@parser.c:10354<-xmlDoRead@parser.c:14657<-xmlReadFile__internal_alias@parser.c:14717<-parseAndPrintFile@xmllint.c:2381<-main@xmllint.c:3726,<-xmlSAX2AttributeNs<-xmlSAX2StartElementNs__internal_alias<-xmlParseStartTag2<-xmlParseElement__internal_alias<-xmlParseDocument__internal_alias<-xmlDoRead<-xmlReadFile__internal_alias<-parseAndPrintFile<-main<-xmlBufferResize__internal_alias<-xmlParserInputBufferGrow__internal_alias<-xmlParserInputGrow__internal_alias<-xmlSkipBlankChars__internal_alias<-xmlParseStartTag2<-xmlParseElement__internal_alias<-xmlParseDocument__internal_alias<-xmlDoRead<-xmlReadFile__internal_alias<-parseAndPrintFile<-main,"if (*valueend != 0) {
	    tmp = xmlSAX2TextNode(ctxt, value, valueend - value);"
a5981c10724a38c9ac3ea56164325f14949568a3b3e1873a4fdba1aff17d2bbe,CVE-2017-9049,libxml2,SIGSEGV,heap-buffer-over-read,xmlParsePI__internal_alias@parser.c:5000,xmlParsePI__internal_alias,<-xmlParsePI__internal_alias@parser.c:5000<-xmlParseMisc__internal_alias@parser.c:10212<-xmlParseDocument__internal_alias@parser.c:10361<-xmlDoRead@parser.c:14657<-xmlReadFile__internal_alias@parser.c:14717<-parseAndPrintFile@xmllint.c:2381<-main@xmllint.c:3726,<-xmlParsePI__internal_alias<-xmlParseMisc__internal_alias<-xmlParseDocument__internal_alias<-xmlDoRead<-xmlReadFile__internal_alias<-parseAndPrintFile<-main,NEXTL(l);
4b863fa6d6441b15594360ef2df8493089529f488cb94976c4dad55af437e231,CVE-2016-1762,libxml2,SIGSEGV,heap-buffer-overflow,xmlNextChar__internal_alias@parserInternals.c:564,xmlNextChar__internal_alias,<-xmlNextChar__internal_alias@parserInternals.c:564<-xmlParseInternalSubset@parser.c:8058<-xmlParseDocument__internal_alias@parser.c:10326<-xmlDoRead@parser.c:14657<-xmlReadFile__internal_alias@parser.c:14717<-parseAndPrintFile@xmllint.c:2381<-main@xmllint.c:3726,<-xmlNextChar__internal_alias<-xmlParseInternalSubset<-xmlParseDocument__internal_alias<-xmlDoRead<-xmlReadFile__internal_alias<-parseAndPrintFile<-main,"if (*ctxt->input->cur == 0)
            xmlParserInputGrow(ctxt->input, INPUT_CHUNK);"
b615bbf716cd5004a55d76c2392361d17e509d47a8c63015ebd3758be881a3d1,CVE-2016-10094,libtiff,SIGSEGV,heap-buffer-overflow,_TIFFmemcpy@tif_unix.c:340,_TIFFmemcpy,<-_TIFFmemcpy@tif_unix.c:340<-t2p_readwrite_pdf_image_tile@tiff2pdf.c:2900<-t2p_write_pdf@tiff2pdf.c:5526<-main@tiff2pdf.c:808,<-_TIFFmemcpy<-t2p_readwrite_pdf_image_tile<-t2p_write_pdf<-main,"memcpy(d, s, (size_t) c);"
f50dfe395e03a63d1d98801d1b5d30d09e5df06f97e18603dcc174d95d840229,CVE-2016-10095,libtiff,SIGSEGV,stack-buffer-overflow,_TIFFVGetField@tif_dir.c:1077,_TIFFVGetField,<-_TIFFVGetField@tif_dir.c:1077<-TIFFVGetField@tif_dir.c:1198<-TIFFGetField@tif_dir.c:1182<-tiffcp@tiffsplit.c:183<-main@tiffsplit.c:89<-tiffcp@tiffsplit.c:159,<-_TIFFVGetField<-TIFFVGetField<-TIFFGetField<-tiffcp<-main<-tiffcp,"*va_arg(ap, uint32*) = (uint32)tv->count;"
1b4bab1947bb3fc13442afe74841e61cdb7265c78ca4ec6fa47a6627b98af87b,CVE-2016-10269,libtiff,SIGSEGV,heap-buffer-overflow,_TIFFmemcpy@tif_unix.c:340,_TIFFmemcpy,<-_TIFFmemcpy@tif_unix.c:340<-TIFFWriteDirectoryTagTransferfunction@tif_dirwrite.c:1842<-TIFFWriteDirectorySec@tif_dirwrite.c:629<-TIFFWriteDirectory@tif_dirwrite.c:183<-TIFFRewriteDirectory@tif_dirwrite.c:223<-TIFFFlush@tif_flush.c:83<-TIFFCleanup@tif_close.c:53<-TIFFClose@tif_close.c:128<-main@tiffcp.c:306,<-_TIFFmemcpy<-TIFFWriteDirectoryTagTransferfunction<-TIFFWriteDirectorySec<-TIFFWriteDirectory<-TIFFRewriteDirectory<-TIFFFlush<-TIFFCleanup<-TIFFClose<-main,"memcpy(d, s, (size_t) c);"
e7efd44a1692c333a7c0d00543c6b1f8a71146f67927ded95494acf180942a1f,CVE-2016-10272,libtiff,SIGSEGV,heap-buffer-overflow,NeXTDecode@tif_next.c:64,NeXTDecode,<-NeXTDecode@tif_next.c:64<-TIFFReadEncodedStrip@tif_read.c:380<-readContigStripsIntoBuffer@tiffcrop.c:3689<-loadImage@tiffcrop.c:6167<-main@tiffcrop.c:2345,<-NeXTDecode<-TIFFReadEncodedStrip<-readContigStripsIntoBuffer<-loadImage<-main,*op++ = 0xff;
39a120089dce7f4ad452a2a08c2002b685bd194a6636803a33de482dbf4d867b,CVE-2017-7600,libtiff,SIGABRT,char_out_of_range,readSeparateTilesIntoBuffer@tiffcp.c:1390,readSeparateTilesIntoBuffer,<-readSeparateTilesIntoBuffer@tiffcp.c:1390<-cpImage@tiffcp.c:1234<-cpSeparateTiles2SeparateStrips@tiffcp.c:1750<-tiffcp@tiffcp.c:815<-main@tiffcp.c:304,<-readSeparateTilesIntoBuffer<-cpImage<-cpSeparateTiles2SeparateStrips<-tiffcp<-main,assert( bps % 8 == 0 );
6283fd7d6a14fcffe7a2bc2622bc4eb7578c35dba361094215cd1e8c44ab3ad6,CVE-2016-10251,jasper,SIGSEGV,integer_overflow,jpc_pi_nextcprl@jpc_t2cod.c:482,jpc_pi_nextcprl,<-jpc_pi_nextcprl@jpc_t2cod.c:482<-jpc_pi_next@jpc_t2cod.c:125<-jpc_dec_decodepkts@jpc_t2dec.c:441<-jpc_dec_process_sod@jpc_dec.c:593<-jpc_dec_decode@jpc_dec.c:390<-jpc_decode@jpc_dec.c:254<-jp2_decode@jp2_dec.c:215<-jas_image_decode@jas_image.c:380<-main@imginfo.c:188,<-jpc_pi_nextcprl<-jpc_pi_next<-jpc_dec_decodepkts<-jpc_dec_process_sod<-jpc_dec_decode<-jpc_decode<-jp2_decode<-jas_image_decode<-main,"if (pi->lyrno >= *prclyrno) {
								++(*prclyrno);"
ed9cb3ee67661aa12cd74d3d4d36b8c70c1dfa409af58da7660b1fe2197d2c10,CVE-2016-8887,jasper,SIGSEGV,null_dereference,jas_free@jas_malloc.c:127,jas_free,<-jas_free@jas_malloc.c:127<-jp2_colr_destroy@jp2_cod.c:443<-jp2_box_destroy@jp2_cod.c:211<-jp2_box_get@jp2_cod.c:307<-jp2_decode@jp2_dec.c:156<-jas_image_decode@jas_image.c:380<-main@imginfo.c:188,<-jas_free<-jp2_colr_destroy<-jp2_box_destroy<-jp2_box_get<-jp2_decode<-jas_image_decode<-main,free(ptr);
e8df4f4ae4a513580f37327aa773acd32aec020efde84f51800ef392e5d7648f,CVE-2018-19539,jasper,SIGSEGV,null-dereference,jas_image_readcmpt@jas_image.c:437,jas_image_readcmpt,<-jas_image_readcmpt@jas_image.c:437<-bmp_putdata@bmp_enc.c:324<-bmp_encode@bmp_enc.c:217<-jas_image_encode@jas_image.c:405<-main@jasper.c:270,<-jas_image_readcmpt<-bmp_putdata<-bmp_encode<-jas_image_encode<-main,"if (!jas_matrix_numrows(data) || !jas_matrix_numcols(data)) {
		return -1;"
4c4aece2aafbbfbfedc60515bd609694bb385670014fd0e80bcc0ba5ac81b91b,CVE-2011-4517,jasper,SIGSEGV,heap-buffer-overflow,jpc_getuint16@jpc_cs.c:1562,jpc_getuint16,<-jpc_getuint16@jpc_cs.c:1562<-jpc_crg_getparms@jpc_cs.c:1355<-jpc_getms@jpc_cs.c:280<-jpc_dec_decode@jpc_dec.c:372<-jpc_decode@jpc_dec.c:254<-jas_image_decode@jas_image.c:372<-main@imginfo.c:179,<-jpc_getuint16<-jpc_crg_getparms<-jpc_getms<-jpc_dec_decode<-jpc_decode<-jas_image_decode<-main,*val = v;
067b8bf9f1ef3400c9cd2f695a9017722172abe561fec63bc119428649b0eac3,CVE-2015-8923,libarchive,SIGSEGV,out-of-bounds-read,process_extra@archive_read_support_format_zip.c:1242,process_extra,<-process_extra@archive_read_support_format_zip.c:1242<-zip_read_local_file_header@archive_read_support_format_zip.c:660<-archive_read_format_zip_streamable_read_header@archive_read_support_format_zip.c:494<-_archive_read_next_header2@archive_read.c:478<-_archive_read_next_header@archive_read.c:515<-archive_read_next_header@archive_virtual.c:137<-read_archive@read.c:205<-tar_mode_t@read.c:84<-main@bsdtar.c:677,<-process_extra<-zip_read_local_file_header<-archive_read_format_zip_streamable_read_header<-_archive_read_next_header2<-_archive_read_next_header<-archive_read_next_header<-read_archive<-tar_mode_t<-main,gidsize = p[offset+2+uidsize];
12d9440296d47a8e75914bf617ac95d99cc4bdf2862963c9471e19631cfee35a,CVE-2015-8928,libarchive,SIGSEGV,out-of-bounds-read,readline@archive_read_support_format_mtree.c:1733,readline,<-readline@archive_read_support_format_mtree.c:1733<-read_mtree@archive_read_support_format_mtree.c:822<-read_header@archive_read_support_format_mtree.c:892<-_archive_read_next_header2@archive_read.c:478<-_archive_read_next_header@archive_read.c:515<-archive_read_next_header@archive_virtual.c:137<-read_archive@read.c:205<-tar_mode_t@read.c:84<-main@bsdtar.c:677,<-readline<-read_mtree<-read_header<-_archive_read_next_header2<-_archive_read_next_header<-archive_read_next_header<-read_archive<-tar_mode_t<-main,"memmove(u, u + 1,
				    total_size - (u - mtree->line.s) + 1);"
e28b95e1700f01e2964594018bdb264513ab2a261c4eb7e28d6ce4dff69b8479,CVE-2019-1000019,libarchive,SIGSEGV,heap-buffer-over-read,edit_pathname@util.c:450,edit_pathname,<-edit_pathname@util.c:450<-read_archive@read.c:320<-tar_mode_x@read.c:101<-main@bsdtar.c:683,<-edit_pathname<-read_archive<-tar_mode_x<-main,"if ((p[0] == '/' || p[0] == '\\') &&
		    (p[1] == '/' || p[1] == '\\') &&
		    (p[2] == '.' || p[2] == '?') &&
		    (p[3] == '/' || p[3] == '\\'))
		{
			if (p[2] == '?' &&
			    (p[4] == 'U' || p[4] == 'u') &&
			    (p[5] == 'N' || p[5] == 'n') &&
			    (p[6] == 'C' || p[6] == 'c') &&
			    (p[7] == '/' || p[7] == '\\'))
				p += 8;"
65b389292078a34c6f98a39e162288a186a5ac58d145450d0a8cfb98c476d2b7,CVE-2015-8915,libarchive,SIGSEGV,null-dereference,__archive_read_filter_ahead@archive_read.c:1174,__archive_read_filter_ahead,<-__archive_read_filter_ahead@archive_read.c:1174<-__archive_read_ahead@archive_read.c:1022<-header_bin_le@archive_read_support_format_cpio.c:848<-archive_read_format_cpio_read_header@archive_read_support_format_cpio.c:372<-_archive_read_next_header2@archive_read.c:478<-_archive_read_next_header@archive_read.c:515<-archive_read_next_header@archive_virtual.c:137<-read_archive@read.c:205<-tar_mode_x@read.c:101<-main@bsdtar.c:683,<-__archive_read_filter_ahead<-__archive_read_ahead<-header_bin_le<-archive_read_format_cpio_read_header<-_archive_read_next_header2<-_archive_read_next_header<-archive_read_next_header<-read_archive<-tar_mode_x<-main,"memcpy(filter->next + filter->avail, filter->client_next,
			    tocopy);"
d51c45788a8e0678d35892087ca36d274a7e1b059c4d07a88cdaabc9134be707,CVE-2017-7245,pcre,SIGSEGV,stack-buffer-overflow,pcre32_copy_substring@pcre_get.c:358,pcre32_copy_substring,<-pcre32_copy_substring@pcre_get.c:358<-main@pcretest.c:5333<-main@pcretest.c:2987,<-pcre32_copy_substring<-main<-main,buffer[yield] = 0;
d3b49f6b39a441987f7ebdc901fb463cd0f30367b1d7c1378a14dd525cc72c54,CVE-2017-7244,pcre,SIGSEGV,stack-buffer-overflow,_pcre32_xclass@pcre_xclass.c:135,_pcre32_xclass,<-_pcre32_xclass@pcre_xclass.c:135<-match@pcre_exec.c:3203<-pcre32_exec@pcre_exec.c:6936<-main@pcretest.c:5218,<-_pcre32_xclass<-match<-pcre32_exec<-main,const ucd_record *prop = GET_UCD(c);
f5465ceca4114bb7e926a8c458fd0c682b38b5923c1e851edf37ef0c21c0da60,CVE-2015-3210,pcre,SIGSEGV,heap-buffer-overflow,compile_regex@pcre_compile.c:8191,compile_regex,<-compile_regex@pcre_compile.c:8191<-compile_branch@pcre_compile.c:7429<-compile_regex@pcre_compile.c:8060<-pcre_compile2@pcre_compile.c:9138<-pcre_compile@pcre_compile.c:8686<-main@pcretest.c:3962,<-compile_regex<-compile_branch<-compile_regex<-pcre_compile2<-pcre_compile<-main,"PUT(code, 1, (int)(code - start_bracket));"
bb82fd1719fd29a7b0ef627d64c11fef0872e73cb196938d07719b83949fe0d4,CVE-2015-2326,pcre,SIGSEGV,heap-buffer-overflow,could_be_empty_branch@pcre_compile.c:2396,could_be_empty_branch,<-could_be_empty_branch@pcre_compile.c:2396<-could_be_empty_branch@pcre_compile.c:2469<-could_be_empty_branch@pcre_compile.c:2469<-pcre_compile2@pcre_compile.c:9414<-pcre_compile@pcre_compile.c:8686<-main@pcretest.c:3962,<-could_be_empty_branch<-could_be_empty_branch<-could_be_empty_branch<-pcre_compile2<-pcre_compile<-main,"do endgroup += GET(endgroup, 1); while (*endgroup == OP_ALT);"
386cf3ecd2b10b49594f4fd75c7392e149d14b920da2260cfd0285825e9f3cbb,CVE-2018-11212,libjpeg-turbo,SIGFPE,divide-by-zero,alloc_sarray@jmemmgr.c:435,alloc_sarray,<-alloc_sarray@jmemmgr.c:435<-start_input_tga@rdtarga.c:437<-main@cjpeg.c:592,<-alloc_sarray<-start_input_tga<-main,"ltemp = (MAX_ALLOC_CHUNK-SIZEOF(large_pool_hdr)) /
	  ((long) samplesperrow * SIZEOF(JSAMPLE));"
19c5c6364652371646494218bb1af065b1d871d9a879e2f5a4fe60a6c3427f14,CVE-2018-11213,libjpeg-turbo,SIGSEGV,heap-buffer-overflow,get_word_gray_row@rdppm.c:256,get_word_gray_row,<-get_word_gray_row@rdppm.c:256<-main@cjpeg.c:613,<-get_word_gray_row<-main,*ptr++ = rescale[temp];
10c81f0f5b7c1229f7678413d190218ee857dff32d163f47af9f6cca58cbe276,CVE-2018-11214,libjpeg-turbo,SIGSEGV,heap-buffer-overflow,get_text_rgb_row@rdppm.c:172,get_text_rgb_row,<-get_text_rgb_row@rdppm.c:172<-main@cjpeg.c:613,<-get_text_rgb_row<-main,"*ptr++ = rescale[read_pbm_integer(cinfo, infile)];"
5923f8287239cee495e487aefc72a9afe7c0f3812d4c9fae823dad5a9636003c,CVE-2018-19664,libjpeg-turbo,SIGSEGV,heap-buffer-over-read,put_pixel_rows@wrbmp.c:145,put_pixel_rows,<-put_pixel_rows@wrbmp.c:145<-main@djpeg.c:762,<-put_pixel_rows<-main,"JSAMPLE c = *inptr++, m = *inptr++, y = *inptr++, k = *inptr++;"
8e8ce58df74388c42379db4c9e591c49aa9a2cba59e6ed7d95791594861bbcb6,CVE-2016-9438,w3m,SIGSEGV,null-dereference,flushline@file.c:3025,flushline,<-flushline@file.c:3025<-HTMLlineproc0@file.c:6603<-do_refill@table.c:798<-renderTable@table.c:1800<-HTMLlineproc0@file.c:6438<-completeHTMLstream@file.c:7007<-loadHTMLstream@file.c:7239<-loadHTMLBuffer@file.c:6767<-loadSomething@file.c:224<-loadGeneralFile@file.c:2241<-main@main.c:1017,<-flushline<-HTMLlineproc0<-do_refill<-renderTable<-HTMLlineproc0<-completeHTMLstream<-loadHTMLstream<-loadHTMLBuffer<-loadSomething<-loadGeneralFile<-main,"tmp = Sprintf(""<INPUT_ALT hseq=\""%d\"" fid=\""%d\"" name=\""%s\"" type=\""%s\"" value=\""%s\"">"",
		     obuf->input_alt.hseq,
		     obuf->input_alt.fid,
		     obuf->input_alt.name->ptr,
		     obuf->input_alt.type->ptr,
		     obuf->input_alt.value->ptr);"
d89e1a4df70e308015f7bec5ea18ffc63953d392806125d0ebc64422ea012855,CVE-2016-9443,w3m,SIGSEGV,null-dereference,formUpdateBuffer@form.c:462,formUpdateBuffer,<-formUpdateBuffer@form.c:462<-formResetBuffer@form.c:272<-loadHTMLBuffer@file.c:6773<-loadSomething@file.c:224<-loadGeneralFile@file.c:2241<-main@main.c:1017,<-formUpdateBuffer<-formResetBuffer<-loadHTMLBuffer<-loadSomething<-loadGeneralFile<-main,p = form->value->ptr;
d198ad750ba8663954d9e26e2c760fd453b20aa7dea0fd89d5a374c4bacfe8ac,CVE-2016-9631,w3m,SIGSEGV,null-dereference,HTMLlineproc0@file.c:6320,HTMLlineproc0,<-HTMLlineproc0@file.c:6320<-loadHTMLstream@file.c:7233<-loadHTMLBuffer@file.c:6767<-loadSomething@file.c:224<-loadGeneralFile@file.c:2241<-main@main.c:1017,<-HTMLlineproc0<-loadHTMLstream<-loadHTMLBuffer<-loadSomething<-loadGeneralFile<-main,"int pre_mode = (obuf->table_level >= 0) ? tbl_mode->pre_mode :
	    obuf->flag;"
6152faed838e256af88f81eae51fd0592ec057725647d0e6a6351ad4fd1e38a9,CVE-2017-5502,jasper,SIGABRT,integer_overflow,jpc_dec_process_sot@jpc_dec.c:454,jpc_dec_process_sot,<-jpc_dec_process_sot@jpc_dec.c:454<-jpc_dec_decode@jpc_dec.c:390<-jpc_decode@jpc_dec.c:254<-jas_image_decode@jas_image.c:380<-main@imginfo.c:188,<-jpc_dec_process_sot<-jpc_dec_decode<-jpc_decode<-jas_image_decode<-main,abort();
6bad72ac4716776763675dd52740349accbfa8e9191f094f71cccdee1f37e719,CVE-2016-7515,imagemagick,SIGSEGV,heap-buffer-overflow,ReadRLEImage@rle.c:590,ReadRLEImage,<-ReadRLEImage@rle.c:590<-ReadImage@constitute.c:494<-ReadImages@constitute.c:844<-CLINoImageOperator@operation.c:4663<-CLIOption@operation.c:5157<-ProcessCommandOptions@magick-cli.c:421<-MagickImageCommand@magick-cli.c:786<-MagickCommandGenesis@mogrify.c:172<-MagickMain@magick.c:74<-main@magick.c:85,<-ReadRLEImage<-ReadImage<-ReadImages<-CLINoImageOperator<-CLIOption<-ProcessCommandOptions<-MagickImageCommand<-MagickCommandGenesis<-MagickMain<-main,"if (IsValidColormapIndex(image,(ssize_t) *p++,&index,
                    exception) == MagickFalse)"
1f74963ad57956554b6511d4ae7367feee74948d682a9022cd724610658d58da,CVE-2016-7523,imagemagick,SIGSEGV,heap-buffer-overflow,parse8BIM@meta.c:496,parse8BIM,<-parse8BIM@meta.c:496<-ReadMETAImage@meta.c:1201<-ReadImage@constitute.c:494<-ReadImages@constitute.c:844<-CLINoImageOperator@operation.c:4663<-CLIOption@operation.c:5157<-ProcessCommandOptions@magick-cli.c:421<-MagickImageCommand@magick-cli.c:786<-MagickCommandGenesis@mogrify.c:172<-MagickMain@magick.c:74<-main@magick.c:85,<-parse8BIM<-ReadMETAImage<-ReadImage<-ReadImages<-CLINoImageOperator<-CLIOption<-ProcessCommandOptions<-MagickImageCommand<-MagickCommandGenesis<-MagickMain<-main,"(void) WriteBlobByte(ofile,(unsigned char) token[next++]);"
2641d4892f6b20c263924caa6a615289cd01e6351da9ff7b037137ec4bf16fa4,CVE-2016-7514,imagemagick,SIGSEGV,heap-buffer-overflow,ReadPSDChannelPixels@psd.c:797,ReadPSDChannelPixels,<-ReadPSDChannelPixels@psd.c:797<-ReadPSDChannelRaw@psd.c:925<-ReadPSDMergedImage@psd.c:1728<-ReadPSDImage@psd.c:1994<-ReadImage@constitute.c:494<-ReadImages@constitute.c:844<-CLINoImageOperator@operation.c:4663<-CLIOption@operation.c:5157<-ProcessCommandOptions@magick-cli.c:421<-MagickImageCommand@magick-cli.c:786<-MagickCommandGenesis@mogrify.c:172<-MagickMain@magick.c:74<-main@magick.c:85,<-ReadPSDChannelPixels<-ReadPSDChannelRaw<-ReadPSDMergedImage<-ReadPSDImage<-ReadImage<-ReadImages<-CLINoImageOperator<-CLIOption<-ProcessCommandOptions<-MagickImageCommand<-MagickCommandGenesis<-MagickMain<-main,pixel=ScaleCharToQuantum(*p++);
